Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
Rosé,Sangiovese,Light-Medium,Sour red fruits,Elegant tannins,Medium-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Sangiovese combinam pela suavidade e textura harmonizando os sabores frutados e ácidos do vinho.,"Gouda and Sangiovese combine for their smoothness and texture, harmonizing the fruity and acidic flavors of the wine."
Rosé,Pinot Noir,Light,Red fruits,Floral,Soft tannins,Light body,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Pinot Noir se complementam pela textura e suavidade dos sabores harmonizando a leveza do vinho.,"Gouda and Pinot Noir complement each other by the texture and smoothness of the flavors, harmonizing the lightness of the wine."
Rosé,Pinot Noir,Light,Red fruits,Floral,Soft tannins,Light body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Pinot Noir contrastam pela intensidade do queijo e a leveza do vinho criando um equilíbrio interessante.,"Roquefort and Pinot Noir contrast with the intensity of the cheese and the lightness of the wine, creating an interesting balance."
Rosé,Pinot Noir,Light,Red fruits,Floral,Soft tannins,Light body,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola e Pinot Noir oferecem um contraste entre a intensidade do queijo e o perfil leve do vinho.,Gorgonzola and Pinot Noir offer a contrast between the intensity of the cheese and the light profile of the wine.
Port,Touriga Nacional,Full-bodied,Firm tannins,Black fruits,Spiced,Balanced acidity,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola e Touriga Nacional se complementam pela intensidade e especiarias criando uma harmonia robusta.,Gorgonzola and Touriga Nacional complement each other by intensity and spices creating a robust harmony.
Port,Touriga Nacional,Full-bodied,Firm tannins,Black fruits,Spiced,Balanced acidity,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort e Touriga Nacional harmonizam pela intensidade e complexidade dos sabores.,Roquefort and Touriga Nacional harmonize by the intensity and complexity of the flavors.
Port,Touriga Franca,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Touriga Franca combinam pela textura cremosa e o perfil robusto do vinho.,Brie and Touriga Franca combine for the creamy texture and robust profile of the wine.
Port,Touriga Franca,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Camembert,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Camembert e Touriga Franca se complementam pela suavidade do queijo e a robustez do vinho.,Camembert and Touriga Franca complement each other by the softness of the cheese and the robustness of the wine.
Port,Tempranillo,Medium-to-Full-bodied,Red and black fruits,Ripe tannins,Balanced acidity,,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Tinta Roriz/Tempranillo harmonizam bem pela suavidade do queijo e o perfil equilibrado do vinho.,Brie and Tinta Roriz/Tempranillo harmonize well with the softness of the cheese and the balanced profile of the wine.
Port,Tempranillo,Medium-to-Full-bodied,Red and black fruits,Ripe tannins,Balanced acidity,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Tinta Roriz/Tempranillo se complementam com a textura e sabores ricos do queijo.,Gouda and Tinta Roriz/Tempranillo complement each other with the rich texture and flavors of the cheese.
Port,Tinta Barroca,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola e Tinta Barroca oferecem uma combinação robusta e intensa de sabores.,Gorgonzola and Tinta Barroca offer a robust and intense combination of flavors.
Port,Tinta Barroca,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort e Tinta Barroca combinam pela intensidade e complexidade criando uma harmonia robusta.,Roquefort and Tinta Barroca combine for intensity and complexity creating a robust harmony.
Port,Tinta Cão,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola e Tinta Cão se harmonizam pela intensidade e complexidade dos sabores.,Gorgonzola and Tinta Cão harmonize by the intensity and complexity of the flavors.
Port,Tinta Cão,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort e Tinta Cão oferecem uma combinação intensa e complexa que se complementa.,Roquefort and Tinta Cão offer an intense and complex combination that complements each other.
Port,Sousão,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola e Sousão se harmonizam pela intensidade e complexidade de sabores.,Gorgonzola and Sousão harmonize with each other due to the intensity and complexity of flavors.
Port,Sousão,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort e Sousão oferecem uma combinação robusta e complexa equilibrando os sabores.,Roquefort and Sousão offer a robust and complex combination balancing the flavors.
Port,Tinta Amarela,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Tinta Amarela se combinam bem pela textura cremosa e o perfil robusto do vinho.,Brie and Tinta Amarela combine well for the creamy texture and robust profile of the wine.
Port,Tinta Amarela,Full-bodied,Firm tannins,Black fruits,Spiced,Robust-body,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Tinta Amarela se harmonizam com a textura e os sabores ricos e levemente salgados.,"Gouda and Tinta Amarela harmonize with the rich, slightly salty texture and flavors."
Port,Viosinho,Medium,White Fruits,Floral,High acidity,,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Queijo de Cabra e Viosinho combinam pela leveza e frescor realçando os sabores frutados e florais.,"Goat Cheese and Viosinho combine for their lightness and freshness, enhancing the fruity and floral flavors."
Port,Malvasia Fina,Medium,White Fruits,Floral,High acidity,,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Malvasia Fina harmonizam pela frescura e leveza complementando os sabores florais e frutados.,"Cabra and Malvasia Fina harmonize with freshness and lightness, complementing the floral and fruity flavors."
Port,Gouveio,Medium,White Fruits,Minerally,High acidity,,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Gouveio se complementam pela textura cremosa e os sabores frescos e minerais.,"Goat and Gouveio complement each other with their creamy texture and fresh, mineral flavors."
White,Chardonnay,Medium-body,Fruity,Buttery,Complex,Citric,Blue,Blue,Creamy-crumbly,Intense,Salty,Spicy,Blue veins,Complementary,C,O queijo azul realça os sabores complexos e amanteigados do Chardonnay.,"The blue cheese brings out the complex, buttery flavors of the Chardonnay."
White,Chardonnay,Medium-body,Fruity,Buttery,Complex,Citric,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda combina com Chardonnay por seu perfil suave e textura macia.,Gouda pairs with Chardonnay for its smooth profile and soft texture.
White,Chardonnay,Medium-body,Fruity,Buttery,Complex,Citric,Comté,Hard,Granular-hard,Intense,Fruity,Slightly spicy,,Complementary,C,Comté harmoniza com o Chardonnay devido à textura e complexidade de sabores.,Comté harmonizes with Chardonnay due to the texture and complexity of flavors.
White,Chardonnay,Medium-body,Fruity,Buttery,Complex,Citric,Manchego,Hard,Brittle,Intense,Salty,Velvety,Nutty,Complementary,C,Manchego e Chardonnay se complementam pela riqueza e intensidade de sabores.,Manchego and Chardonnay complement each other by the richness and intensity of flavors.
White,Sauvignon Blanc,Light,Citric,Herbaceous,Minerally,Refreshing,Feta,Fresh,Soft-crumbly,Salty,Slightly acidic,Creamy,,Complementary,C,Feta realça as notas cítricas e herbáceas do Sauvignon Blanc.,Feta enhances the citrus and herbaceous notes of Sauvignon Blanc.
White,Sauvignon Blanc,Light,Citric,Herbaceous,Minerally,Refreshing,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,O Cabra combina com Sauvignon Blanc por sua textura e sabor fresco.,Cabra combines with Sauvignon Blanc for its texture and fresh flavor.
White,Riesling,Light-Medium,Floral,Fruity,Minerally,Versatile,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Riesling harmonizam devido à leveza e à acidez que ambos oferecem.,Goat and Riesling harmonize due to the lightness and acidity that both offer.
White,Riesling,Light-Medium,Floral,Fruity,Minerally,Versatile,Feta,Fresh,Soft-crumbly,Salty,Slightly acidic,Creamy,,Complementary,C,Feta e Riesling combinam com suas texturas e sabores leves e frutados.,Feta and Riesling combine with their light and fruity textures and flavors.
White,Riesling,Light-Medium,Floral,Fruity,Minerally,Versatile,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Riesling harmonizam devido à leveza e à acidez que ambos oferecem.,Goat and Riesling harmonize due to the lightness and acidity that both offer.
White,Pinot Grigio,Light,Fruity,Floral,Light,Minerally,Mozzarella,Fresh,Stretchy-soft,Smooth,Milky,Slightly salty,,Complementary,C,Mozzarella e Pinot Grigio se harmonizam por suas características leves e frescas.,Mozzarella and Pinot Grigio harmonize for their light and fresh characteristics.
White,Pinot Grigio,Light,Fruity,Floral,Light,Minerally,Ricota,Fresh,Granular-soft,Smooth,Slightly sweet,Fresh,,Complementary,C,Ricota e Pinot Grigio complementam-se pela textura suave e sabor leve.,Ricotta and Pinot Grigio complement each other with their smooth texture and light flavor.
White,Pinot Grigio,Light,Fruity,Floral,Light,Minerally,Camembert,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Camembert e Pinot Grigio combinam devido à textura cremosa e sabores delicados.,Camembert and Pinot Grigio combine due to the creamy texture and delicate flavors.
White,Pinot Grigio,Light,Fruity,Floral,Light,Minerally,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Pinot Grigio se harmonizam com sua leveza e suavidade.,Brie and Pinot Grigio harmonize with its lightness and softness.
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Feta,Fresh,Soft-crumbly,Salty,Slightly acidic,Creamy,,Complementary,C,Chenin Blanc e Feta combinam bem com suas notas frutadas e leves.,"Chenin Blanc and Feta pair well with its fruity, light notes."
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Chenin Blanc se complementam com a textura cremosa e os sabores frutados.,Goat and Chenin Blanc complement each other with the creamy texture and fruity flavors.
White,Gewürztraminer,Aromatic,Spiced,Floral,Fruity,Intense,Goat,Fresh,Creamy-soft,Slightly acidic,Goat,Fresh,,Complementary,C,Cabra e Gewürztraminer combinam com a intensidade aromática e os sabores especiados.,Goat and Gewürztraminer combine with the aromatic intensity and spicy flavors.
White,Viognier,Aromatic,Floral,Peach,Pineapple,Medium-body,Camembert,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Camembert e Viognier harmonizam pela textura cremosa e os sabores frutados e florais.,Camembert and Viognier harmonize with their creamy texture and fruity and floral flavors.
White,Viognier,Aromatic,Floral,Peach,Pineapple,Medium-body,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Viognier se complementam pela suavidade do queijo e os sabores frutados e florais do vinho.,"Brie and Viognier complement each other by the softness of the cheese and the fruity, floral flavors of the wine."
White,Viognier,Aromatic,Floral,Peach,Pineapple,Medium-body,Emmental,Semi-hard,Firm-soft,Milky,Slightly fruity,Slightly sweet,,Complementary,C,Emmental e Viognier combinam com a textura e sabores levemente frutados e adocicados.,Emmental and Viognier combine with the texture and slightly fruity and sweet flavors.
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda combina com Chenin Blanc pelo seu perfil suave e textura macia.,Gouda combines with Chenin Blanc for its smooth profile and soft texture.
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola e Chenin Blanc contrastam pela intensidade do queijo e o perfil frutado e floral do vinho.,Gorgonzola and Chenin Blanc contrast with the intensity of the cheese and the fruity and floral profile of the wine.
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Contrasting,Cr,Parmesão e Chenin Blanc criam um contraste interessante entre a textura firme e o perfil floral e frutado.,"Parmesan and Chenin Blanc create an interesting contrast between the firm texture and the floral, fruity profile."
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Cheddar,Hard,Firm-brittle,Salty,Slightly acidic,Fruity,,Contrasting,Cr,Cheddar e Chenin Blanc contrastam com a textura e os sabores criando uma combinação única.,Cheddar and Chenin Blanc contrast with the texture and flavors creating a unique combination.
